mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,param_kernel,param_probability,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1533.3287471771241,8.29512972831726,-0.5362493686954292,32,0.1,rbf,True,"{'kernel': 'rbf', 'gamma': 0.1, 'probability': True, 'C': 32}",26,-0.5921776269919432,-0.5914478489826146,-0.5159417822395487,-0.4830026815846238,-0.49865020123950554,107.17225399430137,0.34909625960371043,0.046554497321921705
1176.3388666152955,4.469304990768433,-0.543726994144947,32,0.01,rbf,True,"{'kernel': 'rbf', 'gamma': 0.01, 'probability': True, 'C': 32}",44,-0.6666871037138422,-0.648388490652457,-0.49851444550142804,-0.44464247090498615,-0.4603437537645928,82.24154084386012,0.22199538088839615,0.09475318617180335
327.72605781555177,3.7760571956634523,-0.5220380101648179,32,0.001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.001, 'probability': True, 'C': 32}",2,-0.6814728311227446,-0.6645830598001607,-0.46143675440800064,-0.3759635968728103,-0.42665768791330366,41.9898770213077,0.09006907751087767,0.12637303279697631
298.70064597129823,3.7979032516479494,-0.5440532098546343,32,0.0001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.0001, 'probability': True, 'C': 32}",45,-0.6991280765563616,-0.6651623321615098,-0.47688486935448327,-0.4232753128854912,-0.4557414192288128,29.870278371754406,0.14191194574548927,0.11455890039983375
334.2142580986023,3.776688289642334,-0.539071997521622,32,1e-05,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-05, 'probability': True, 'C': 32}",35,-0.718942083526038,-0.6890866309454786,-0.46312278337557305,-0.3890106377771711,-0.4351119746451031,45.478078874253875,0.08770426748662291,0.13708281737195832
321.09610238075254,3.9481110095977785,-0.5703021779869429,32,1e-06,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-06, 'probability': True, 'C': 32}",65,-0.7199878847869458,-0.6923161196893476,-0.4712334825446255,-0.5294227995353916,-0.4384791372973351,9.514980699660873,0.11725316317557126,0.11503098429353946
326.1494333744049,3.738174486160278,-0.5973231523272144,32,1e-07,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-07, 'probability': True, 'C': 32}",76,-0.7324311800947141,-0.7028393017189892,-0.5143790682307526,-0.5401590054902835,-0.49674270000070386,18.3687430721136,0.03184696701925337,0.0996551041037527
241.00294551849365,3.7789485454559326,-0.6771402431588165,32,1e-08,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-08, 'probability': True, 'C': 32}",84,-0.7442704199289509,-0.7526967787545054,-0.6515899770055865,-0.5655780179622052,-0.6715339714496996,6.8362727669151075,0.03055021581656369,0.06833088543666271
221.3558939933777,3.6946044921875,-0.5727047374354443,32,1e-09,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-09, 'probability': True, 'C': 32}",67,-0.6153187022272528,-0.6028750919520505,-0.5531540746332596,-0.5534549813869971,-0.5387004913272476,3.713341107994847,0.042769874818189585,0.030448957023174184
1611.191441679001,5.571816110610962,-0.5411949330602586,64,auto,rbf,True,"{'kernel': 'rbf', 'gamma': 'auto', 'probability': True, 'C': 64}",37,-0.6369606212706829,-0.6206024402987791,-0.505152075703708,-0.4639144405790704,-0.47929936499108644,123.95915178885694,0.23203777315611107,0.07291211580776766
1531.3528680801392,7.964573240280151,-0.5361365240717896,64,0.1,rbf,True,"{'kernel': 'rbf', 'gamma': 0.1, 'probability': True, 'C': 64}",23,-0.5899811895342483,-0.5920239935904819,-0.5164347178144891,-0.4834885904401331,-0.4987284213331585,98.05247982647732,0.1177278365936134,0.04600513713258108
1455.6511252403259,4.194279193878174,-0.548744433087768,64,0.01,rbf,True,"{'kernel': 'rbf', 'gamma': 0.01, 'probability': True, 'C': 64}",54,-0.6634397867351657,-0.6447910412151963,-0.5073998087255575,-0.4571897539501487,-0.4708470145579866,269.9214200970505,0.17275302392513794,0.08779774547276288
395.4747750759125,3.608236789703369,-0.5220523861159991,64,0.001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.001, 'probability': True, 'C': 64}",3,-0.6812088813224565,-0.6687437798990796,-0.46143573593476733,-0.3752601078246271,-0.4235374377760971,44.197604087544335,0.27595092989086156,0.12789134928195264
306.1058979511261,3.7453675270080566,-0.5362939286426486,64,0.0001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.0001, 'probability': True, 'C': 64}",27,-0.6881833219603536,-0.6648755181544032,-0.47000358349723104,-0.4183569086672747,-0.43997779272279985,34.005539449403365,0.12173777974860525,0.11592114610889696
326.7712940216064,3.8912635326385496,-0.5380976498493315,64,1e-05,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-05, 'probability': True, 'C': 64}",33,-0.7229605281593475,-0.6890154697564437,-0.46094557478673176,-0.3782385447874439,-0.43923987065460934,50.3741091618983,0.0834261294000346,0.14016964327179535
339.8993302345276,3.8219721794128416,-0.5564610477368297,64,1e-06,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-06, 'probability': True, 'C': 64}",60,-0.724989489134737,-0.6850598025646969,-0.4673505473980794,-0.4724103093851007,-0.4324146278279857,15.024720382707313,0.1378977067972299,0.12275061200613127
338.7336163520813,3.7647510528564454,-0.5796636459674058,64,1e-07,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-07, 'probability': True, 'C': 64}",70,-0.7526345745246377,-0.6922441545597783,-0.4990608329877507,-0.5007109822384276,-0.4535851021277442,17.5544223429925,0.08334708163311606,0.11935403807541937
271.41070952415464,3.7509007453918457,-0.5895021022695104,64,1e-08,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-08, 'probability': True, 'C': 64}",74,-0.6903015241304662,-0.6483586553017132,-0.540515695725702,-0.5515235802237348,-0.5167629301975609,18.16853509728827,0.04837937267105781,0.06746898295822505
218.41761403083802,3.671845865249634,-0.6304335833451712,64,1e-09,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-09, 'probability': True, 'C': 64}",82,-0.8053589011914118,-0.6475069115204621,-0.6375842661239446,-0.5260843131453726,-0.5355500082405609,2.50722825555899,0.0362025699741302,0.10083939199747503
