-0.549 (+/-0.277) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 512}
-0.547 (+/-0.276) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 512}
-0.547 (+/-0.278) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 512}
-0.544 (+/-0.273) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 512}
-0.542 (+/-0.269) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 512}
-0.542 (+/-0.270) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 512}
-0.541 (+/-0.267) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 512}
-0.606 (+/-0.423) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 512}
-0.559 (+/-0.299) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 512}
-0.552 (+/-0.296) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 512}
-0.549 (+/-0.286) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 512}
-0.544 (+/-0.273) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 512}
-0.543 (+/-0.270) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 512}
-0.543 (+/-0.269) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 512}
-0.544 (+/-0.277) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 512}
-0.541 (+/-0.268) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 512}
-0.543 (+/-0.268) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 512}
-0.616 (+/-0.432) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 512}
-0.560 (+/-0.294) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 512}
