RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
8,512,0.001,0.42056878028450834,0.823389,0.8179572,0.84263295,[1024; 1024; 1024; 1024; 1024],0.8746,0.3602715613979737,100
8,512,0.001,0.4162790806595067,0.83245826,0.81567854,0.8694874,[1024; 1024; 1024; 1024; 1024],0.9109034,0.3073360898041274,150
8,512,0.001,0.43073692207973724,0.83818614,0.8194935,0.87432116,[1024; 1024; 1024; 1024; 1024],0.92087173,0.2911066261682091,200
8,512,0.001,0.4384767882010248,0.83245826,0.81850594,0.8916274,[1024; 1024; 1024; 1024; 1024],0.9346681,0.2650492671367383,250
8,512,0.001,0.44205808044902467,0.8412888,0.8207904,0.8971773,[1024; 1024; 1024; 1024; 1024],0.94450223,0.24493997438273937,300
8,512,0.001,0.46621196712400576,0.8372315,0.8175688,0.90207076,[1024; 1024; 1024; 1024; 1024],0.95038104,0.2346851848807932,350
8,512,0.001,0.4709790206325367,0.8398568,0.8186889,0.9083368,[1024; 1024; 1024; 1024; 1024],0.95493186,0.22312850239005558,400
8,512,0.001,0.47104190940788654,0.8389022,0.813837,0.9149609,[1024; 1024; 1024; 1024; 1024],0.96070457,0.20751882820633208,450
8,512,0.001,0.4651462055902777,0.83508354,0.8168475,0.9160351,[1024; 1024; 1024; 1024; 1024],0.9608351,0.2079299153766634,500
8,512,0.001,0.4941910106128611,0.84152746,0.82052505,0.9164528,[1024; 1024; 1024; 1024; 1024],0.96038395,0.2093609250188692,550
8,512,0.001,0.4929765412517265,0.84606206,0.81941867,0.92331564,[1024; 1024; 1024; 1024; 1024],0.9663123,0.19269261051972214,600
9,512,0.003,0.584796298545983,0.7627685,0.6357165,0.68305784,[1024; 1024; 1024; 1024; 1024],0.48699543,1.7891711679642899,0
9,512,0.003,0.4598013618680913,0.7980907,0.79793876,0.78564185,[1024; 1024; 1024; 1024; 1024],0.7736324,0.4749036622928137,50
9,512,0.003,0.45224941150954345,0.799284,0.79304457,0.79704005,[1024; 1024; 1024; 1024; 1024],0.7814869,0.46787543585677915,100
9,512,0.003,0.45800952056427274,0.7995227,0.78571063,0.80133677,[1024; 1024; 1024; 1024; 1024],0.79597694,0.4453315148527443,150
9,512,0.003,0.4622703838462192,0.79785204,0.7767084,0.7953691,[1024; 1024; 1024; 1024; 1024],0.77181494,0.46076545646966494,200
9,512,0.003,0.45017312557429856,0.80429596,0.7925408,0.80032223,[1024; 1024; 1024; 1024; 1024],0.7874804,0.4521195746452717,250
9,512,0.003,0.46129050766938057,0.80023867,0.78383225,0.7975175,[1024; 1024; 1024; 1024; 1024],0.7779076,0.4602931427836112,300
9,512,0.003,0.4800997629655005,0.7973747,0.77217484,0.8048577,[1024; 1024; 1024; 1024; 1024],0.7913649,0.4626061631649059,350
