mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1.239971399307251,0.26436433792114256,-103.64580078146379,16,1e-06,rbf,"{'C': 16, 'gamma': 1e-06, 'kernel': 'rbf'}",33,-156.42984706055165,-77.32635011663457,-85.72685051913012,-105.87632011137903,-92.72502227420144,0.25711911685073147,0.06096815376405441,28.03453755120365
1.330171489715576,0.27119717597961424,-339.04329173870184,16,1e-07,rbf,"{'C': 16, 'gamma': 1e-07, 'kernel': 'rbf'}",61,-711.4417267296617,-232.41871979039195,-220.50249091308677,-273.7711069992132,-256.06214457624895,0.20353504024985403,0.041847316332661186,187.36670425243733
1.4922327041625976,0.2930485248565674,-421.6851693921435,16,1e-08,rbf,"{'C': 16, 'gamma': 1e-08, 'kernel': 'rbf'}",71,-878.8059894673279,-296.73254680853563,-272.54917603717973,-337.6815510825017,-321.4041977567471,0.09846250819613117,0.027753871051565085,229.93680326001171
1.5055566787719727,0.2874246120452881,-431.0496559250511,16,1e-09,rbf,"{'C': 16, 'gamma': 1e-09, 'kernel': 'rbf'}",83,-897.8429189383484,-304.17075957652054,-278.4928918800138,-344.9461777406822,-328.5166458375997,0.048024658932288175,0.009684000567581456,234.79375519711454
1.750650119781494,0.32776832580566406,-139.81422863566462,32,auto,rbf,"{'C': 32, 'gamma': 'auto', 'kernel': 'rbf'}",38,-284.44038412137127,-96.5726156651027,-82.38643660470173,-116.02303451152589,-119.2524362331948,0.08399574155380331,0.012337588073011756,73.64206624560613
1.3513949871063233,0.21273331642150878,-428.82561378789165,32,0.1,rbf,"{'C': 32, 'gamma': 0.1, 'kernel': 'rbf'}",75,-840.8734606182551,-305.58413721751714,-286.3897441444659,-359.7221136609322,-350.4297150877939,0.144465694097405,0.04343614118355545,208.09977994685755
1.2219978809356689,0.20816521644592284,-217.97744232129452,32,0.01,rbf,"{'C': 32, 'gamma': 0.01, 'kernel': 'rbf'}",52,-488.69299912779485,-129.28279815163103,-118.47736430995428,-164.99336057221365,-187.69900298787474,0.16226492766518727,0.03939100410089509,137.78736249577443
1.4941521644592286,0.25895252227783205,-84.07633886998549,32,0.001,rbf,"{'C': 32, 'gamma': 0.001, 'kernel': 'rbf'}",20,-104.5199821752922,-77.10053992929218,-70.29346724400817,-95.49593228265378,-72.91576273702282,0.2532221621918714,0.06057131919631467,13.506906885080506
1.2432843685150146,0.25363712310791015,-76.93512649832675,32,0.0001,rbf,"{'C': 32, 'gamma': 0.0001, 'kernel': 'rbf'}",8,-86.470448411649,-69.98724858278133,-68.84453323882231,-90.77812371620966,-68.5691543725459,0.2389445491568975,0.056920444081678734,9.656756673218725
1.3885176181793213,0.30288166999816896,-76.63063042882656,32,1e-05,rbf,"{'C': 32, 'gamma': 1e-05, 'kernel': 'rbf'}",6,-85.14701176118578,-68.45506333210614,-69.18509431345596,-90.53818556486617,-69.80446462092334,0.04757987251057677,0.022477490930719754,9.325038962088975
1.3493181705474853,0.30190234184265136,-88.55878117006274,32,1e-06,rbf,"{'C': 32, 'gamma': 1e-06, 'kernel': 'rbf'}",26,-111.27870419598081,-71.96556195149243,-76.85842826918368,-97.5132545564848,-85.11571051271747,0.03026890211713678,0.01202211088556239,14.292095848583058
1.421646785736084,0.3001227855682373,-266.69002059254683,32,1e-07,rbf,"{'C': 32, 'gamma': 1e-07, 'kernel': 'rbf'}",57,-558.2540923012533,-178.98785502566056,-176.06419992394137,-219.13661695051155,-200.2085330854532,0.05056928275626727,0.013224415154198815,146.81231752203811
1.452585506439209,0.276016902923584,-411.63223532062835,32,1e-08,rbf,"{'C': 32, 'gamma': 1e-08, 'kernel': 'rbf'}",68,-858.2069572987775,-288.58051925189505,-266.09618969275124,-330.03141129121605,-314.02260667952066,0.038957823768857015,0.014675395808942043,224.65346240487438
1.463960552215576,0.26704840660095214,-430.00104195941725,32,1e-09,rbf,"{'C': 32, 'gamma': 1e-09, 'kernel': 'rbf'}",77,-895.7158376233281,-303.3402042824134,-277.825534106152,-344.1270939550868,-327.7206088830816,0.0471260978970063,0.006967168026881443,234.25205482688213
1.738682460784912,0.2808487892150879,-138.35725804459514,64,auto,rbf,"{'C': 64, 'gamma': 'auto', 'kernel': 'rbf'}",37,-266.04224128554307,-99.28914869706838,-84.40277105391992,-119.78041088693561,-121.92189642761564,0.05834477360740886,0.02972970384119847,65.40493272986701
1.7751805782318115,0.30815672874450684,-430.20527729799466,64,0.1,rbf,"{'C': 64, 'gamma': 0.1, 'kernel': 'rbf'}",81,-814.9478632676294,-310.5377535939307,-293.7015570642374,-368.59377405357327,-362.1913492339736,0.02091065562099916,0.005131630284381912,194.7839401752333
1.6206851482391358,0.29900808334350587,-215.49920235228558,64,0.01,rbf,"{'C': 64, 'gamma': 0.01, 'kernel': 'rbf'}",51,-468.8627974299409,-130.42389731873035,-120.05675611899359,-166.1575021542906,-191.3009119036432,0.23388308392997728,0.057974552627849195,129.37569619445458
1.7216403007507324,0.24193687438964845,-86.31835490961573,64,0.001,rbf,"{'C': 64, 'gamma': 0.001, 'kernel': 'rbf'}",22,-109.287718207843,-79.80297262140974,-72.16801771007044,-95.8844758007728,-74.38566044552181,0.21595628162271008,0.06439356183149546,14.177930030413673
