mean_fit_time,mean_score_time,mean_test_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
2461.9300889492033,0.16420512199401854,-260.40415035074835,4,3,auto,poly,"{'degree': 3, 'kernel': 'poly', 'C': 4, 'gamma': 'auto'}",18,-462.17074907852026,-186.2474001431922,-166.7786309700718,-203.61548642264157,-282.6556999373222,140.39088200171366,0.00036619850102804987,108.41967924462419
2410.1489502429963,0.1640404224395752,-260.91857056085007,4,3,0.1,poly,"{'degree': 3, 'kernel': 'poly', 'C': 4, 'gamma': 0.1}",21,-459.8962092314051,-187.69816367456394,-166.2002779976803,-203.66663775449214,-286.58641993057296,140.61247249715936,0.000762322095598451,107.64592928305821
2550.057235431671,0.16456151008605957,-262.30745831381785,4,3,0.01,poly,"{'degree': 3, 'kernel': 'poly', 'C': 4, 'gamma': 0.01}",25,-465.7668926263579,-186.10480372172935,-168.25596768753778,-205.91856406490288,-284.93364036085563,191.12936148214789,0.00039477647537643885,109.38057869585693
615.3883001327515,0.16290683746337892,-125.49480917852233,4,3,0.001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 4, 'gamma': 0.001}",6,-184.6026821526943,-97.57833786855538,-96.19124628718467,-120.39890046620867,-128.5409397399572,43.414517835579765,0.0008976573981356812,32.16753945240075
1.1307299613952637,0.16293883323669434,-104.62438522315365,4,3,0.0001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 4, 'gamma': 0.0001}",1,-163.53105463292763,-81.75167332699408,-85.89545558568118,-109.74327131007728,-82.0390831247188,0.05253757101869777,0.0005377795387972745,31.263580471087412
1735.7234735488892,0.16522884368896484,-386.2126957672127,4,4,auto,poly,"{'degree': 4, 'kernel': 'poly', 'C': 4, 'gamma': 'auto'}",39,-816.621171946298,-255.32875382509752,-205.81437336621812,-271.09506917077186,-381.02490922307805,156.09153091420646,0.001916305949048579,222.9690250594621
1716.8775375843047,0.16461381912231446,-386.0874112594477,4,4,0.1,poly,"{'degree': 4, 'kernel': 'poly', 'C': 4, 'gamma': 0.1}",35,-823.3239637766707,-256.1430781837456,-205.56426594273418,-270.3687624471166,-373.8390775839105,159.94192219411252,0.0006912154965419693,225.64354281061
1721.6009789943696,0.1645902633666992,-388.4008956206953,4,4,0.01,poly,"{'degree': 4, 'kernel': 'poly', 'C': 4, 'gamma': 0.01}",45,-821.6705633582019,-256.994401350968,-206.14104148757784,-271.4196496799818,-384.59178204116483,106.9868851776891,0.001195880866398507,224.62596378347004
1699.9538930892945,0.16349825859069825,-375.29557958827075,4,4,0.001,poly,"{'degree': 4, 'kernel': 'poly', 'C': 4, 'gamma': 0.001}",33,-784.6491594051404,-252.9499377189645,-200.07149368645483,-269.7992871880305,-367.8865032857311,95.51065412377464,0.0009641495655349527,212.02008917530077
2.4403106689453127,0.164078950881958,-141.2760733704733,4,4,0.0001,poly,"{'degree': 4, 'kernel': 'poly', 'C': 4, 'gamma': 0.0001}",9,-266.69512139933653,-101.99580115539453,-102.52350091227079,-130.58062257415165,-104.24170698099695,0.2655941043753711,0.0008450523804156157,63.706440396534745
1405.7515170574188,0.1648019313812256,-704.5452137857437,4,5,auto,poly,"{'degree': 5, 'kernel': 'poly', 'C': 4, 'gamma': 'auto'}",53,-1770.9678620920965,-437.9823054905405,-295.9181723182685,-424.8925689494387,-590.0434541926028,62.55259010295307,0.0009241475844805214,542.0177580750485
1410.03012342453,0.1649923801422119,-706.4133827299717,4,5,0.1,poly,"{'degree': 5, 'kernel': 'poly', 'C': 4, 'gamma': 0.1}",61,-1782.6940614726939,-438.11428729948295,-295.5203219423444,-424.29102618950014,-588.4985025575006,104.20549941278753,0.0002926019207351479,546.817884428296
1427.7906215190887,0.16426596641540528,-703.5592659981446,4,5,0.01,poly,"{'degree': 5, 'kernel': 'poly', 'C': 4, 'gamma': 0.01}",49,-1774.4702085623287,-435.06018736606154,-295.7365854077534,-427.88776692761513,-581.7075791445961,190.9163199744251,0.0012654368308919364,543.771257704706
1413.7070981025695,0.16421284675598144,-704.7768482947972,4,5,0.001,poly,"{'degree': 5, 'kernel': 'poly', 'C': 4, 'gamma': 0.001}",57,-1775.587085561062,-436.3739702942178,-294.4431811398826,-425.64657821538793,-588.899699585994,122.77282948528037,0.0014101123109688323,544.1910914577281
10.338143920898437,0.16436219215393066,-191.4403253131821,4,5,0.0001,poly,"{'degree': 5, 'kernel': 'poly', 'C': 4, 'gamma': 0.0001}",14,-416.6035079163284,-132.0727362653344,-116.32130483268668,-147.77534455812508,-143.81184756164632,2.4979014566776625,0.0006100668839316834,113.26490296262448
1327.4576751232148,0.16453256607055664,-1564.2160549960229,4,6,auto,poly,"{'degree': 6, 'kernel': 'poly', 'C': 4, 'gamma': 'auto'}",65,-4532.533379531082,-942.2838341072329,-488.29189212315396,-787.963442568192,-1061.8753504188512,94.17094448124503,0.0006297804378236498,1498.5474003604204
1332.0826251029969,0.16500344276428222,-1573.6331703744675,4,6,0.1,poly,"{'degree': 6, 'kernel': 'poly', 'C': 4, 'gamma': 0.1}",77,-4561.585928781487,-953.1686702414197,-488.8121097919606,-789.8406840176528,-1066.5722870989753,114.14662544575309,0.00054978328887715,1508.5980681928095
1315.9651138782501,0.16449613571166993,-1567.9190982053967,4,6,0.01,poly,"{'degree': 6, 'kernel': 'poly', 'C': 4, 'gamma': 0.01}",69,-4544.8703330379485,-943.0870858591833,-487.5663855729726,-791.5477041672802,-1064.3679516092361,142.11275570477133,0.0010162898422608909,1502.9453397204654
1332.3213972091676,0.16481633186340333,-1568.236098367029,4,6,0.001,poly,"{'degree': 6, 'kernel': 'poly', 'C': 4, 'gamma': 0.001}",73,-4537.354965792166,-948.1680720496399,-486.89776572357323,-789.3038914637458,-1071.3212245664977,114.8797918982671,0.00045168021699617004,1499.4063210151835
50.23864269256592,0.1644005298614502,-311.85670807641975,4,6,0.0001,poly,"{'degree': 6, 'kernel': 'poly', 'C': 4, 'gamma': 0.0001}",30,-794.3977619908621,-191.51121633034595,-138.38024379335585,-191.50893727411506,-242.1633507087226,13.317077588316758,0.00048413381169707114,243.8191145356519
2445.318293428421,0.1639781951904297,-260.40415035074835,8,3,auto,poly,"{'degree': 3, 'kernel': 'poly', 'C': 8, 'gamma': 'auto'}",18,-462.17074907852026,-186.2474001431922,-166.7786309700718,-203.61548642264157,-282.6556999373222,146.3238328119099,0.0005576479091945574,108.41967924462419
2414.2443420886993,0.16328086853027343,-260.91857056085007,8,3,0.1,poly,"{'degree': 3, 'kernel': 'poly', 'C': 8, 'gamma': 0.1}",21,-459.8962092314051,-187.69816367456394,-166.2002779976803,-203.66663775449214,-286.58641993057296,136.72975026155189,0.0010727520819685333,107.64592928305821
2536.7807763576507,0.1643000602722168,-262.30745831381785,8,3,0.01,poly,"{'degree': 3, 'kernel': 'poly', 'C': 8, 'gamma': 0.01}",25,-465.7668926263579,-186.10480372172935,-168.25596768753778,-205.91856406490288,-284.93364036085563,206.85615167138448,0.0007830804075378159,109.38057869585693
1111.698036289215,0.16338143348693848,-139.4910605147277,8,3,0.001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 8, 'gamma': 0.001}",8,-207.40744845859209,-106.23204924600057,-103.76711857199632,-131.6079032091902,-148.25471079212278,86.12477169777031,0.0011104092231626456,37.795943997376696
1.3882875442504883,0.16413025856018065,-105.78554368089245,8,3,0.0001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 8, 'gamma': 0.0001}",3,-164.59323756975948,-82.53614061132453,-86.41988388863858,-111.53241521927133,-83.68492414590978,0.05900494425952091,0.0007703814892507155,31.31185430749932
1744.0699013233184,0.1643524169921875,-386.2126957672127,8,4,auto,poly,"{'degree': 4, 'kernel': 'poly', 'C': 8, 'gamma': 'auto'}",39,-816.621171946298,-255.32875382509752,-205.81437336621812,-271.09506917077186,-381.02490922307805,149.5865500658813,0.0005946875722541152,222.9690250594621
1726.0594348430634,0.16373000144958497,-386.0874112594477,8,4,0.1,poly,"{'degree': 4, 'kernel': 'poly', 'C': 8, 'gamma': 0.1}",35,-823.3239637766707,-256.1430781837456,-205.56426594273418,-270.3687624471166,-373.8390775839105,167.81763574956787,0.0007017328089122076,225.64354281061
1721.2036118030549,0.16414146423339843,-388.4008956206953,8,4,0.01,poly,"{'degree': 4, 'kernel': 'poly', 'C': 8, 'gamma': 0.01}",45,-821.6705633582019,-256.994401350968,-206.14104148757784,-271.4196496799818,-384.59178204116483,111.95506175767314,0.0008376348698273817,224.62596378347004
1671.005835533142,0.164642333984375,-387.3743533993612,8,4,0.001,poly,"{'degree': 4, 'kernel': 'poly', 'C': 8, 'gamma': 0.001}",43,-821.7981182051944,-256.94823104935017,-206.56706922947228,-270.9708166505932,-379.39732976683763,107.89823329105242,0.0004422488941702346,224.68574130039943
4.3487543106079105,0.16439428329467773,-142.1113379173801,8,4,0.0001,poly,"{'degree': 4, 'kernel': 'poly', 'C': 8, 'gamma': 0.0001}",10,-268.0516741466639,-102.49158310525786,-101.99597333397526,-129.8506555390792,-107.82176144485767,0.5928381204235448,0.0006558039157666084,63.8722360241709
1400.2783898830414,0.1650785446166992,-704.5452137857437,8,5,auto,poly,"{'degree': 5, 'kernel': 'poly', 'C': 8, 'gamma': 'auto'}",53,-1770.9678620920965,-437.9823054905405,-295.9181723182685,-424.8925689494387,-590.0434541926028,63.390743273742984,0.000837152249605396,542.0177580750485
