RUN,EPOCHS,BATCH_SIZE,LR,NEURONS,AUC_TRAIN,AUC_DEV,LOSS_TRAIN,LOSS_DEV,ACCURACY_TRAIN,ACCURACY_DEV
59,200,1024,0.001,[1024; 1024],0.9997989226732509,0.8298387106583179,0.019299405,1.0256071,0.9887808,0.8272076
60,300,1024,1e-05,[256; 512],0.8342676796121916,0.7946776781241347,0.40468472,0.44662723,0.82860893,0.8081146
61,300,1024,1e-05,[512; 512],0.8592140092684196,0.8025313121953771,0.38116083,0.43173808,0.840962,0.8124105
62,300,1024,1e-05,[512; 1024],0.8692751990645601,0.8071440739575143,0.36583376,0.42825955,0.8517634,0.8116945
63,300,1024,1e-05,[1024; 1024],0.8981641180289786,0.8192366771159874,0.3302959,0.43593854,0.87187445,0.8236277
64,300,1024,3.0000000000000004e-05,[256; 512],0.9042711771412696,0.83059126984127,0.3169264,0.40578532,0.87593246,0.82458234
65,300,1024,3.0000000000000004e-05,[512; 512],0.9366064580834201,0.8317310193794984,0.2635407,0.42472497,0.90219015,0.826253
66,300,1024,3.0000000000000004e-05,[512; 1024],0.9530716697818992,0.8332104958964283,0.23557937,0.39975733,0.9162141,0.83770883
67,300,1024,3.0000000000000004e-05,[1024; 1024],0.9823393879137621,0.8397227892883953,0.16444337,0.41498876,0.949812,0.84319806
68,300,1024,0.0001,[256; 512],0.9792958973576583,0.8175490379226602,0.16437046,0.45008746,0.9450379,0.8229117
69,300,1024,0.0001,[512; 512],0.9980432774828614,0.8304729790937782,0.073077545,0.5233874,0.98233575,0.82911694
70,300,1024,0.0001,[512; 1024],0.9993542761452738,0.8312124739003168,0.052436505,0.55769575,0.98681146,0.8353222
71,300,1024,0.0001,[1024; 1024],0.9943951232574544,0.8131195704680979,0.07245112,0.7311778,0.9758907,0.83365154
72,300,1024,0.00030000000000000003,[256; 512],0.9924931033760249,0.7935812749254072,0.045726378,1.0162528,0.9872889,0.8031026
73,300,1024,0.00030000000000000003,[512; 512],0.9993481096934695,0.83104232644335,0.033201974,0.77169997,0.99003404,0.7940334
74,300,1024,0.00030000000000000003,[512; 1024],0.9992743594112922,0.8100259123753973,0.025415514,0.8079918,0.9895566,0.83365154
75,300,1024,0.00030000000000000003,[1024; 1024],0.9997308709030328,0.83486326431774,0.021521678,0.7792996,0.98937756,0.82840097
76,300,1024,0.001,[256; 512],0.9996633073831968,0.8203689655172414,0.026114397,0.9111929,0.9890792,0.82601434
77,300,1024,0.001,[512; 512],0.9997956591757134,0.8285885201635541,0.019705897,0.90691966,0.9895566,0.83460623
78,300,1024,0.001,[512; 1024],0.9997686600608937,0.8298846159625541,0.022430856,0.89979726,0.98919857,0.8326969
79,300,1024,0.001,[1024; 1024],0.9997839705259184,0.8280891186352429,0.02097323,0.8467434,0.98818403,0.84081143
80,500,1024,1e-05,[256; 512],0.8653975145345194,0.8042459751541006,0.3709251,0.4203721,0.8477054,0.81551313
81,500,1024,1e-05,[512; 512],0.8948972317727962,0.8223194078285245,0.3340796,0.40040526,0.8684729,0.8267303
82,500,1024,1e-05,[512; 1024],0.9049929621853827,0.83308648989899,0.31959623,0.3895628,0.8743808,0.8367542
83,500,1024,1e-05,[1024; 1024],0.9340897564266959,0.8463788938863902,0.27253887,0.37023443,0.8995644,0.8338902
84,500,1024,3.0000000000000004e-05,[256; 512],0.942452933006892,0.8331082643263265,0.25328484,0.4064662,0.90612876,0.8288783
85,500,1024,3.0000000000000004e-05,[512; 512],0.9771707076630374,0.8135481071991644,0.1772265,0.46763292,0.94062185,0.82100236
86,500,1024,3.0000000000000004e-05,[512; 1024],0.9896344795587144,0.8406294175144083,0.13283038,0.45809546,0.9613296,0.8403341
87,500,1024,3.0000000000000004e-05,[1024; 1024],0.9985199059112508,0.8376769057961602,0.07070137,0.5317458,0.983768,0.8362768
88,500,1024,0.0001,[256; 512],0.9990949996515011,0.8065373501593924,0.05428077,0.7539287,0.98842275,0.82147974
89,500,1024,0.0001,[512; 512],0.9980942523355866,0.7894023859738991,0.03281477,0.84739244,0.98967594,0.8188544
90,500,1024,0.0001,[512; 1024],0.999775871172827,0.8178234460585377,0.023845641,0.77724594,0.9903921,0.82840097
91,500,1024,0.0001,[1024; 1024],0.9992642808894088,0.8358870822699758,0.035842076,0.7823748,0.989855,0.8207637
92,500,1024,0.00030000000000000003,[256; 512],0.9992770020287436,0.8025846586082006,0.029509913,0.95789564,0.9901534,0.83054894
93,500,1024,0.00030000000000000003,[512; 512],0.9997157319668559,0.8170313376032843,0.021787815,1.0162305,0.98919857,0.83054894
94,500,1024,0.00030000000000000003,[512; 1024],0.9980117292395829,0.8303569334016996,0.14866167,0.9983514,0.9493943,0.7649165
95,500,1024,0.00030000000000000003,[1024; 1024],0.9997843506894506,0.8223001439487019,0.018983677,0.9806689,0.9897356,0.83460623
96,500,1024,0.001,[256; 512],0.9996673065314905,0.8169039575289575,0.021864042,1.0580286,0.987826,0.82553697
97,500,1024,0.001,[512; 512],0.999632516905368,0.8275183560753736,0.023944383,0.90133095,0.9890792,0.8124105
98,500,1024,0.001,[512; 1024],0.999792793585134,0.8254327179412256,0.01964631,0.95073,0.9887808,0.83054894
99,500,1024,0.001,[1024; 1024],0.9998173604132559,0.8418465441536386,0.017257586,0.9139388,0.9894372,0.83914083
